U.S. State Department Briefing on Torture and Killing Pak Chong Cheol,1987-01-22,"In the wake of Park Chong Cheol’s torture killing, a Minister and National Police Director General resigned. President Chun Doo Hwan formed a commission to prevent torture and protect human rights, but this move was viewed with skepticism from opponents as well as within his own party. President Chun has installed former military members as leaders, suggesting that his he is trying to establish control. However, he is also more vulnerable to attacks and under intense scrutiny."
ROK Meeting with UN Secretary General ,1987-02-18,"ROK representatives to the UN discussed the impediments to dialogue with DPRK in a meeting with the UN Secretary General. The ROK had replied to a letter sent by DPRK accepting the proposal for high-level political/military talks, however stated that the first step should be to resume dialogue through Red Cross talks. For ROK, dialogue could not continue without addressing the question of the construction of the dam first, and ROK representatives called for join surveys and consultations of water resources. "
US Secretary Schultz Meeting with ROK Foreign Minister,1987-03-06,"US Secretary Schultz met with ROK Foreign Minister Choi to discuss China, domestic politics, and trade. On China, the US characterized an upcoming China trip as a way to stabilize East Asia and expressed commitment to a strong military deterrence against DPRK. On domestic politics, the ROK stated that President Chun was committed to a peaceful transition in a politically stable environment, and the US stated that they supported political stability as well as political liberties. On trade, ROK outlined steps addressing the trade imbalance and the US urged ROK to take further steps to open its market. "
"Talking Points on US trip to China, Korea, and Japan",1987-03-07,"On China, the US Secretary of State noted that economic development would continue under Deng but should not be considered as Westernization or a relaxation of communist policies, and also noted that internationally, China viewed relations with the U.S. importantly and relations with USSR cautiously. On Korea, President Chun had stated that he would not resort to martial law, but the US Secretary noted that domestic tensions could still arise based on distance between Chun and opposition. On Japan, he noted that the protectionist threat and trade issues were the main focus of conversations."
U.S. State Notes on Reactions to Secretary’s Visit,1987-03-10,"US analysts noted that the Secretary’s March 6th visit had a positive impact in reinforcing the US’ commitment to political liberalization without interference or picking sides. The opposition is mixed between disappointed and encouraged by the visit, and Lee Min Woo in particular interpreted the Secretary’s comments to support the “Lee Min Woo” idea. "
Transcript of “On Background” Briefing,1987-03-10,"In discussing the domestic situation of Korea, a Senior State Department official stressed that the U.S. did not want to support any particular leader or government in Korea. Instead, the U.S. continued to recommend that President Chun and opposition leaders discuss how and when a peaceful transition of power would take place, repeatedly saying that this was a decision that needed to be made soon but also ultimately a Korean decision. "
Article: Korean Politics in Transition,1987-03-12,"In an address, Gaston J. Sigur Jr. notes the economic and political trends facing South Korea and the impacts on political liberalization. Particularly, he notes that economic development thus far has aided in the development of urbanized and educated society but has also created new pressures for which a consensus building political system is necessary. He discusses that South Korea is ready to move towards political maturity, in part so the military can focus solely on national defense. He describes the progress South Korea has made thus far in political liberalization and emphasized US commitment to supporting all parties in creating a new framework."
"Memorandum on Commitments during Visit to Hong Kong, China, Korea, and Japan",1987-03-19,"Gaston Sigur reminds the Secretary of State on specific goals of upcoming visits to Hong Kong, China, Korea, and Japan. In Hong Kong, the Secretary is reminded to avoid suggesting that de-linking the Hong Kong dollar from the US dollar would occur, as this is still being decided by the EAP agency. In China, the Secretary is reminded to set a date on a Chinese visit to the US and discuss USSR, arms control, Afghanistan, Cambodia, DPRK reaction to a US proposal, the arrest of Yang Wi, and US-China trade relations. In Korea, the Secretary is reminded to restate commitment to ROK defense, advocate for government-opposition negotiations, and discuss trade issues. In Japan, the Secretary is to discuss bilateral economic relations and DPRK relations. "
Talking Points for Japanese Visit: Korean Issues,1987-03-25,"Gaston Sigur provided talking points for an upcoming discussion with Japanese representatives. Sigur briefed the Under Secretary on discussions with the Soviet Union on DPRK. In previous conversations, he noted, USSR representatives relayed that DPRK could not agree to US proposals regarding further dialogue and urged the US to convince the ROK to offer concessions in Olympic conversations. "
UN Secretary General Meeting with ROK ,1987-04-10,"The UN Secretary General met with ROK representatives to discuss the progress on North-South dialogue. ROK representatives noted that they have received recent proposals of the North to discuss issues at a Prime Ministers meeting, however they believed that meetings regarding water resources was the first issue that needed to be tackled. ROK representatives noted that DPRK had created tensions with the building of a dam and Prime Minister talks could only be held after the tensions from the dam construction were addressed."
President Chun’s Meeting with Congressman Solarz,1987-04-17,"President Chun Do Hwan met with Congressman Solarz to discuss the political situation in South Korea. President Chun restated that he will step down, however the problem of constitutional reform should be dealt with by the next administration. Constitutional reform, in his opinion, took time and should not be rushed in time for his departure in 1988. Chun also noted that the opposition were not trustworthy as they were only interested in self-promotion and had monarchist tendencies. Finally, he noted that he would grant amnesty for repentance and did not want to encourage communist thought in South Korea."
An Interview with Ambassador Lilley by Kang Song-Po,1987-05-06,"In this article, author Kang Song-Po pointed out that American representatives have acted seemingly in support of opposition and democratization ideas in South Korea. Kang points out that American representatives have spoken more about civilian democratization and human rights issues. In particular, Kang talks about Ambassador Lilley’s conversations with Korean students and professors to try and understand and combat anti-Americanism. These conversations decreased in frequency as students and professors became more frustrated with American representatives dodging hard questions. In the end, Kang notes that Lilley continued to advocate for South Koreans to decide on democratization in a public interview."
 Letter on Meeting with Stephen Cardinal Kim ,1987-05-07,"John D. Rockefeller conveyed the thoughts of Stephen Cardinal Kim regarding the political situation of South Korea to Frank Carlucci. According to Rockefeller, Kim did not believe that Chun had any moral authority but was ruling using the strength of the police. For this reason, Korea lacked true stability. Kim also mentioned the serious social problems of unemployment and increased criminality that Korean society was facing. Rockefeller noted that Kim seemed to be despaired by the state of his country."
"New York Times, Solarz",1987-05-07,"In an article in the New York Times, Stephen Solarz states that the U.S. should not ignore the political situation of South Korea because instability would threaten America’s security and economy. Instead, he argued that the U.S. should support democratization and protection of human rights without supporting a specific candidate or type of government."
