75687,Rodong Sinmun Calls for More Vigorous Forest Restoration Campaign,Pyongyang** February 26 (KCNA) -- Rodong Sinmun Wednesday dedicates an article to the fifth anniversary of the publication of Supreme Leader ''Kim Jong Un's work ^Let the Entire Party** the Whole Army and All the People Conduct a Vigorous Forest Restoration Campaign to Cover the Mountains of the Country with Green Woods. ^The work indicates detailed tasks to restore forest including the issues of simultaneously pushing forward with tree-planting movement and forest conservation and of developing forest science and technology and tightening the supervision and control over the tree-planting and forest conservation** and the ways of carrying them out. The whole Party** the entire army and all the people have worked hard to turn mountains of the country into treasure and gold ones for five years since the publication of the work** the article says** and continues:The ongoing all-out campaign makes the country's forest resources rich** but it is no more than a beginning** judging from the overall forest situation. Everyone should pool their strength and wisdom and redouble their efforts to turn all the mountains of the country into gold and treasure ones as intended by the Workers' Party of Korea. When all the people living in this land take an active part in forest restoration in one mind** they can achieve successes in the campaign for conserving nature. The article calls upon all the people to bear in mind the firm patriotic will carried in the work of the Supreme Leader to make all the mountains treasure and gold ones covered with green woods and to wage a more dynamic forest restoration campaign** true to the noble intention of President ''Kim Il Sung and Chairman ''Kim Jong Il.,KCNA,2/26/2020
75688,Rodong Sinmun Calls for Increasing Production and Practicing Economy,Pyongyang** February 26 (KCNA) -- Rodong Sinmun Wednesday says in an editorial that all the sectors and units should push ahead with the nationwide movement for increasing production and practicing economy to take greater steps forward in building an economic power today when an offensive for making a breakthrough head-on is under way under the unfurled banner of achieving prosperity by dint of self-reliance. Only when all-out movement for increasing production and practicing economy is dynamically conducted** can successes of self-reliance and self-sufficiency be created one after another and the national power be redoubled** the editorial notes** and goes on:The models to be followed in the present era are the patriotic working people who regard the spirit of economy as part of their mental qualities** as well as the labour-** energy-** cost-** and land-saving enterprises. Everyone should acquire firm attitude that they are responsible for the country's economy. All the sectors and units should raise a wind of emulation drive for tapping reserves and further increasing production and practicing economy in keeping with their actual conditions. All the sectors and units should make big efforts for practicing economy in labor** energy and raw and other materials and find ways for increased production in close cooperation with scientists and technicians. The collection and reclamation such as procurement of idle materials should be positively encouraged to make recycling serve as important motive force of economic development. The editorial calls for turning out as one in the work for increasing production and practicing economy to make a tangible contribution to winning victory in the offensive for making a breakthrough head-on by dint of self-reliance.,KCNA,2/26/2020
75689,Press Review,Pyongyang** February 26 (KCNA) -- Following are major news items and articles in newspapers of the DPRK on Wednesday:Supreme Leader ''Kim Jong Un sent a message of greeting to the emir of the State of Kuwait on the occasion of its national day. Articles are dedicated to the 5th anniversary of the publication of ''Kim Jong Un's work ^Let the Entire Party** the Whole Army and All the People Conduct a Vigorous Forest Restoration Campaign to Cover the Mountains of the Country with Green Woods^. Officials of the Presidium of the Supreme People's Assembly visited Chairman ''Kim Jong Il's birthplace in the Paektusan Secret Camp and toured Rimyongsu area. Officials of the youth league from across the country toured the Mupho Bivouac and Taehongdan area. Anti-epidemic work to prevent COVID-19 has been intensified at various units. Damage by COVID-19 increases in different countries and efforts to combat COVID-19 are being redoubled. Rodong SinmunAn editorial calls for turning out as one for increasing production and practicing economy so as to win a victory in the offensive for making a breakthrough head-on. A political essay says that ''Kim Jong Un is the symbol of the mighty DPRK and its future. Minju JosonThe DPRK foreign minister received messages of greeting from his counterparts of different countries. An article deals with sustained standoff and discord between China and the U. S.,KCNA,2/26/2020
75690,84 More Confirmed to Be Infected with COVID-19 in S. Korea,Pyongyang** February 26 (KCNA) -- 84 more people were confirmed to be infected with COVID-19 with 1 death in south Korea as of 16:00 local time on Tuesday** according to a news report. The report said that the number of confirmed cases reached 977 in south Korea. The tenth death was a 58-year-old man.,KCNA,2/26/2020
75664,Intensive Agitation Inspires Working People to Further Efforts,The Party officials' agitation group for increased production started its propaganda work in the Susan-ri Hall of Culture on Feb. 19. Since then has it conducted fresh economic agitation activities at workteams of Tokhung-ri Jamjin-ri and others whose farming conditions are unfavorable. Its three days of agitation activities produced very practical effects. The Susan Tokhung and Yaksu co-op farms completed the sowing of spring barley seeds four days ahead of schedule. The Thaesong Co-op Farm dug up over 2 200 tons of quality sludge from its fish-breeding grounds.,Kim Hyang Ran,2/25/2020
75665,Anti-epidemic Work Intensified without Slackening Vigilance Even a Moment,The officials and working people across the country are taking part as one in the campaign to curb the spread of the Covid-19. The Ministry of Machine-Building Industry urges its officials to unconditionally wear masks at the rush time and in the compound and makes it a rule to sterilize offices more than thrice and take their temperatures twice or over everyday. And it enjoins them to wash their hands immediately after using computers. The Kim Jong Thae Electric Locomotive Complex normalizes the javellization of the resting rooms of all workteams.   ,An Song Hyok,2/25/2020
75666,To Produce More Efficacious Koryo Medicines,The Ministry of Public Health puts efforts into producing medicines needed to cure in time respiratory system disorders that may occur in winter. The Huichon Koryo Medicine Factory and the Phyongchon Koryo Medicine Factory gained successes in the production of Koryo medicines by giving precedence to the supply of raw materials and other materials. A marked increase was recorded in production of medicines at the Moranbong Koryo Medicine Factory and the Korea Koryo Medicine Technique Company. Far more Koryo medicines were produced than plans. This is ascribable to the devoted efforts of the workers and officials of Koryo medicine factories and the detailed operation of the Ministry of Public Health.,Kim Ok Byol,2/25/2020
75667,Co-op Farms Busy with Preparations for This Year's Farming,The agricultural front of the DPRK is now in an unprecedented upsurge from the beginning of the year. Agricultural workers of North Phyongan Province are making efforts to spread tens of tons of manure and over 2 tons of organic composite fertilizer per a hectare and widely introduce the organic method of farming with mud snails and the method of cultivating early tall rice seedlings. Kangwon Province renovated the Provincial Institute of Agricultural Science and the Wonsan Vegetable Research Branch. The officials of farms across the country are powerfully organizing and directing the work of securing water. Good headway is made in the work of raising the proportion of mechanization in farm work by accelerating the repair of farm machines and the production of accessories.  ,Kim Song Chol,2/25/2020
75668,Editorial, If we are to win a new victory in the present offensive for making head-on breakthrough by dint of self-reliance as intended by the Workers' Party of Korea it is important for all domains and units to direct greater efforts to the training of talents. What is imperative is that the officials should become firm in their viewpoint that they should arrange forces of talents and build them up with their own efforts. Primary attention should be paid to raising true revolutionary talents who share the idea and will with the Party Central Committee. It is also important to thoroughly establish the spirit with which to value and put forward the talents and spare no expenses for their upbringing. The training of talents wholly depends on officials.,Let us all thoroughly implement the Party's policy on training the talents and make all fields and units full of talents and prosper and advance with the might of science and technology. ,2/25/2020
75669,By Enhancing Revolutionary Fighting Spirit,The Party organizations throughout the country are more zealously conducting the ideological education to raise the enthusiasm of masses for revolution and struggle. The Pyongyang City Committee of the WPK inspires the party information workers to loudly beat the drum of agitation and propaganda on working sites seething with production. The South Hamgyong Provincial Party Committee is firing the zeal of the Party members and other working people with the general mobilization of information and motivation forces in the province including artistes lecturers painters and others. The Party organizations of the Kim Chaek Iron and Steel Complex the Hungnam Fertilizer Complex the Sangwon Cement Complex and the Ryongsong Machine Complex and other units make sure that the information workers engage themselves in fresh political work among Party members and other working people like the anti-Japanese guerillas and give an active impetus to their advance for a great leap.,Rodong Sinmun,2/25/2020
