"A delegation headed by Foreign Minister Pak Ui-chun leaves for Hanoi to attend the ASEAN Regional Forum, the Special Ministerial Meeting for MDGs Review in Asia and the Pacific later in Jakarta and visit Vietnam, Laos, Myanmar and Indonesia",a-delegation-headed-by-foreign-minister-pak-ui-chun-leaves-for-hanoi-to-attend-the-asean-regional-forum-the-special-ministerial-meeting-for-mdgs-review-in-asia-and-the-pacific-later-in-jakarta-and-visit-vietnam-laos-myanmar-and-indonesia,"<p>A delegation headed by Foreign Minister Pak Ui-chun leaves for Hanoi to attend the ASEAN Regional Forum, the Special Ministerial Meeting for MDGs Review in Asia and the Pacific later in Jakarta and visit Vietnam, Laos, Myanmar and Indonesia.</p><p>Pak Ui-chun holds talks with Pham Gia Khiem, deputy prime minister and foreign minister of Vietnam, in Hanoi and exchanges information on mutual concern and ideas to boost bilateral relations.</p><p>‍</p>",
A delegation of the DPRK Supreme People’s Assembly led by its Vice Chairwoman Hong Son Ok leaves Pyongyang to attend the 122nd General Assembly of the Inter-Parliamentary Union to be held in Thailand,a-delegation-of-the-dprk-supreme-peoples-assembly-led-by-its-vice-chairwoman-hong-son-ok-leaves-pyongyang-to-attend-the-122nd-general-assembly-of-the-inter-parliamentary-union-to-be-held-in-thailand,,
A delegation of the Foreign Ministry led by Vice Minister Kung Sok-ung leaves Pyongyang to visit Russia,a-delegation-of-the-foreign-ministry-led-by-vice-minister-kung-sok-ung-leaves-pyongyang-to-visit-russia,,
A delegation of the Kimilsung Socialist Youth League headed by First-secretary of its Central Committee Ri Yong-chol travels to China,a-delegation-of-the-kimilsung-socialist-youth-league-headed-by-first-secretary-of-its-central-committee-ri-yong-chol-travels-to-china,,
"A delegation of the Kimilsung Socialist Youth League headed by Ri Yong-chol (리영철), first-secretary of its Central Committee, leaves Pyongyang to visit Iran",a-delegation-of-the-kimilsung-socialist-youth-league-headed-by-ri-yong-chol-riyeongceol-first-secretary-of-its-central-committee-leaves-pyongyang-to-visit-iran,,
"A friendly delegation of the WPK headed by Mun Kyong-dok, an alternate member of the party’s Politburo, leaves for China",a-friendly-delegation-of-the-wpk-headed-by-mun-kyong-dok-an-alternate-member-of-the-partys-politburo-leaves-for-china,,
"A government cultural delegation headed by Kim Jin-bom, vice chairman of the North’s Korean Committee for Cultural Relations with Foreign Countries, departs for Indonesia",a-government-cultural-delegation-headed-by-kim-jin-bom-vice-chairman-of-the-norths-korean-committee-for-cultural-relations-with-foreign-countries-departs-for-indonesia,"<p>A government cultural delegation headed by Kim Jin-bom, vice chairman of the North’s Korean Committee for Cultural Relations with Foreign Countries, departs for Indonesia</p>",
Academy of Agricultural Science President Kye Yong Sam in Guinea to commemorate 30th Anniversary of Guinea's Kim Il Sung Institute of Agricultural Science ,academy-of-agricultural-science-president-kye-yong-sam-in-guinea-to-commemorate-30th-anniversary-of-guineas-kim-il-sung-institute-of-agricultural-science,<p>A delegation of the Academy of Agricultural Science led by its President Kye Yong Sam leaves Pyongyang to take part in the event to mark the 30th anniversary of Kim Il-sung Institute of Agricultural Science in Guinea.</p>,
Academy of Social Sciences Vice President Ji Sungchol visits China,academy-of-social-sciences-vice-president-ji-sungchol-visits-china,<p>A delegation from the Academy of Social Sciences led by its vice president Ji Sungchol returns home from China.</p>,
"Alternate Polit. Bureau Member Kim Yong Il visits Laos, Vietnam and Myanmar",alternate-polit-bureau-member-kim-yong-il-visits-laos-vietnam-and-myanmar,"<p>A delegation of the WPK led by Kim Yong-il, an alternate member of the Political Bureau and secretary of the Central Committee of the WPK, leaves Pyongyang to visit Laos, Vietnam and Myanmar.</p>",
Bureau of Earthquakes Director Jang Jong Nam visits China,bureau-of-earthquakes-director-jang-jong-nam-visits-china,<p>A North Korean delegation of the Bureau of Earthquake headed by Director Jang Jong-nam returns home wrapping up its visit to China that started on Oct. 22.</p>,
Central Broadcasting Committee Vice Chairman Pak Song Il visits China,central-broadcasting-committee-vice-chairman-pak-song-il-visits-china,<p>The delegation of the Central Broadcasting Committee of (North) Korea led by its Vice Chairman Pak Song Illeaves Pyongyang to visit China.</p>,
