SECRETARY BROWN’S KOREA VISIT–KIM DAE JUNG,1980-12-13,STATE,SEOUL,2020-05-14
NOVEMBER 21 CONVERSATION WITH PRESIDENT CHUN RE KIM DAE JUNG,1980-11-21,STATE,SEOUL,2020-05-14
CALL ON DEFENSE MINISTER CHOO,1980-09-24,STATE,SEOUL,2020-05-14
DISCUSSION WITH KOREAN AMBASSADOR,1980-08-29,SEOUL,STATE,2020-05-14
INSTRUCTIONS TO SEE GENERAL CHUN,1980-08-08,SEOUL,STATE,2020-05-14
INTERNATIONAL OBSERVATION OF TRIAL OF KIM DAE-JUNG,1980-08-01,SEOUL,STATE,2020-05-14
MEETING WITH GENERAL CHUN,1980-07-20,STATE,SEOUL,2020-05-14
TRIAL OF KIM DAE JUNG TO BEGIN AUGUST 14; HE MAY HAVE A LAWYER,1980-07-08,STATE,SEOUL,2020-05-14
JULY 3 DISCUSSION WITH FONMIN,1980-07-03,STATE,SEOUL,2020-05-14
MISCELLANEOUS CONVERSATIONS WITH KOREANS SINCE MY RETURN,1980-07-02,STATE,SEOUL,2020-05-14
JUNE 25 TALK WITH BLUE HOUSE SYG,1980-06-25,STATE,SEOUL,2020-05-14
"KOREAN SITREP, 2400, MAY 26, 1980",1980-05-26,STATE,SEOUL,2020-05-14
POSSIBLE FURTHER U.S. STATEMENT ON KWANGUU CRISIS,1980-05-22,STATE,SEOUL,2020-05-14
MAY 22 MEETING WITH FONMIN,1980-05-22,STATE,SEOUL,2020-05-14
KWANGJU RIOT AND FUTURE POLITICAL STABILITY,1980-05-21,STATE,SEOUL,2020-05-14
MY CALL ON MARTIAL LAW COMMANDER GENERAL LEE HUI SUNG,1980-05-18,STATE,SEOUL,2020-05-14
My 17 MEETING KIM BLUE HOUSE SYG CHOI KWANG SOU,1980-05-17,STATE,SEOUL,2020-05-14
ROKG PLANS ON CONSTITUTIONAL AMENDMENT,1980-05-14,STATE,SEOUL,2020-05-14
MAY 9 CONVERSATION WITH BLUE HOUSE SYG KWANG SOO CHOI,1980-05-10,STATE,SEOUL,2020-05-14
MEETINGS WITH GENERAL CHUN AND BLUE HOUSE SYG CHOI,1980-05-09,STATE,SEOUL,2020-05-14
KOREA FOCUS — MEETING WITH CHUN DOO HWAN,1980-05-07,SEOUL,STATE,2020-05-14
ROKG SHIFTS SPECIAL FORCES UNITS,1980-05-07,STATE,SEOUL,2020-05-14
MEETING WITH CHUN DOO HWAN,1980-05-06,STATE,SEOUL,2020-05-14
MY DIFFICULTY IN SEEING GENERAL CHUN,1980-05-05,STATE,SEOUL,2020-05-14
MEETING WITH CHUN DOO HWAN (ii),1980-04-18,STATE,SEOUL,2020-05-14
MEETING WITH PRESIDENT – REQUEST FOR EXPEDITED INSTRUCTIONS,1980-04-17,STATE,SEOUL,2020-05-14
PLAN FOR “LIAISON BODY” BETWEEN TWO NDP KIMS REJECTED AS THEIR RIVALRY BECOMES MORE PUBLIC,1980-03-12,STATE,SEOUL,2020-05-14
SOME MORE STRAWS IN THE WIND — POLITICAL INFIGHTING BEGINS,1980-02-02,STATE,SEOUL,2020-05-14
KOREA – AMBASSADOR’S POLICY ASSESSMENT,1980-01-29,STATE,SEOUL,2020-05-14
ADMIRAL LONG’S CALL ON PRESIDENT CHOI,1980-01-28,STATE,SEOUL,2020-05-14
KOREA FOCUS – ROK AMBASSADOR KIM TRYS TO EXERT INFLUENCE,1979-12-15,SEOUL,STATE,2020-05-14
KOREA FOCUS – MY MEETING WITH PRIME MINISTER-DECEMBER 18,1979-12-18,STATE,SEOUL,2020-05-14
YOUNGER ROK OFFICERS GRAB POWER POSITIONS,1979-12-13,STATE,SEOUL,2020-05-14
STUDENT RESTIVENESS,1980-05-02,SEOUL,STATE,n/a
STUDENT DISORDERS IN SEOUL AND PROVINCES,1980-05-14,SEOUL,STATE,n/a
